age_group,male_rate,female_rate,ratio_m_to_f,broad_band,abs_risk_flag,is_peak
10-14,0.8,0.5,1.6,Young (10-24),Low,False
15-19,5.0,3.2,1.6,Young (10-24),Low,False
20-24,12.3,4.8,2.6,Young (10-24),Moderate,False
25-29,16.2,5.5,2.9,Prime working age (25-44),High,False
30-34,18.5,6.2,3.0,Prime working age (25-44),High,False
35-39,20.5,6.5,3.2,Prime working age (25-44),High,False
40-44,22.8,7.0,3.3,Prime working age (25-44),Very High,False
45-49,23.5,7.5,3.1,Middle-aged (45-64),Very High,False
50-54,27.5,7.8,3.5,Middle-aged (45-64),Very High,True
55-59,22.0,6.8,3.2,Middle-aged (45-64),Very High,False
60-64,20.4,6.2,3.3,Middle-aged (45-64),High,False
65-69,18.0,5.2,3.5,Older (65+),High,False
70-74,16.5,4.5,3.7,Older (65+),High,False
75+,14.2,3.8,3.7,Older (65+),Moderate,False
