year,male_rate,female_rate,total_rate,male_yoy_pct,gender_gap,male_pct_all
2000,17.2,5.5,10.1,,11.7,75.77092511013215
2001,16.8,5.4,9.9,-2.3255813953488302,11.4,75.67567567567566
2002,17.0,5.6,10.1,1.1904761904761862,11.4,75.22123893805309
2003,17.3,5.4,10.2,1.764705882352935,11.9,76.21145374449338
2004,17.5,5.6,10.4,1.156069364161838,11.9,75.75757575757575
2005,17.4,5.3,10.2,-0.5714285714285783,12.099999999999998,76.65198237885463
2006,17.4,5.4,10.2,0.0,11.999999999999998,76.31578947368422
2007,17.6,5.2,10.2,1.1494252873563315,12.400000000000002,77.19298245614036
2008,17.9,5.3,10.4,1.7045454545454364,12.599999999999998,77.15517241379311
2009,18.1,5.4,10.6,1.1173184357541999,12.700000000000001,77.0212765957447
2010,18.1,5.1,10.5,0.0,13.000000000000002,78.01724137931035
2011,18.0,5.3,10.5,-0.5524861878453136,12.7,77.25321888412017
2012,18.2,5.5,10.6,1.1111111111111072,12.7,76.79324894514767
2013,18.7,5.2,10.7,2.7472527472527375,13.5,78.24267782426779
2014,18.1,5.0,10.3,-3.208556149732611,13.100000000000001,78.35497835497836
2015,16.8,4.9,9.8,-7.182320441988955,11.9,77.41935483870968
2016,15.8,5.0,9.6,-5.952380952380953,10.8,75.96153846153845
2017,15.5,5.1,9.5,-1.898734177215189,10.4,75.24271844660194
2018,16.2,5.5,10.0,4.516129032258065,10.7,74.65437788018433
2019,17.3,5.6,10.4,6.790123456790131,11.700000000000001,75.54585152838429
2020,16.2,5.2,9.9,-6.358381502890187,11.0,75.70093457943925
2021,15.8,5.1,9.7,-2.4691358024691246,10.700000000000001,75.59808612440192
2022,17.0,5.4,10.2,7.594936708860756,11.6,75.89285714285715
2023,17.4,5.5,10.4,2.35294117647058,11.899999999999999,75.9825327510917
2024,17.6,5.8,10.5,1.1494252873563315,11.8,75.21367521367522
