year,male_deaths,male_rate,female_deaths,female_rate
2000,550,21.0,175,6.4
2001,540,20.5,170,6.2
2002,535,20.2,165,6.0
2003,545,20.8,172,6.3
2004,558,21.3,178,6.5
2005,542,20.7,168,6.1
2006,530,20.2,162,5.9
2007,548,20.8,170,6.2
2008,560,21.4,178,6.5
2009,571,21.8,182,6.6
2010,565,21.5,175,6.4
2011,558,21.2,170,6.2
2012,570,21.8,178,6.5
2013,585,22.3,185,6.7
2014,562,21.5,172,6.3
2015,540,20.7,162,5.9
2016,528,20.2,158,5.7
2017,515,19.7,152,5.5
2018,532,20.3,160,5.8
2019,545,20.8,168,6.1
2020,520,19.9,155,5.6
2021,510,19.5,150,5.4
2022,525,20.1,158,5.7
2023,518,19.8,155,5.6
2024,518,19.3,160,5.8
